,open,high,low,close,volume,marketCap,date
252,5.6852197647,6.6686401367,5.2856898308,6.6686401367,2143230,177855559.722,2018-01-25
253,6.4085497856,6.9354200363,5.3760199547,6.6475801468,4422150,177293880.265,2018-01-26
254,6.635890007,7.5442900658,6.5278301239,6.8172698021,10049300,181819587.146,2018-01-27
255,6.8825001717,7.0111098289,6.3497900963,6.3863101006,1741020,170325694.535,2018-01-28
256,6.4030399323,7.5474600792,6.1607599258,6.677549839,4313600,178093193.338,2018-01-29
257,6.6789999008,7.724050045,5.7342100143,5.8024001122,6108660,154752558.202,2018-01-30
258,5.8350901604,6.9361801147,5.5067300797,6.5774698257,3501040,175424015.752,2018-01-31
259,6.5547099113,6.5547099113,4.6306500435,5.5318899155,2198850,147537937.611,2018-02-01
260,5.5225901604,5.8682599068,4.4250597954,5.4087500572,2457040,144288825.44,2018-02-02
261,5.4276399612,6.1152801514,4.9285302162,5.8102002144,620692,154998277.526,2018-02-03
262,5.8131399155,5.9604802132,4.9088702202,5.0917801857,505978,135833040.092,2018-02-04
263,5.0507898331,5.199739933,3.5974500179,3.8363900185,547398,102343093.511,2018-02-05
264,3.8423600197,4.8914699554,2.9139699936,4.6857600212,879233,125001674.452,2018-02-06
265,4.6448597908,5.0820097923,4.2057299614,4.460050106,333766,118980425.404,2018-02-07
266,4.4741101265,5.1139302254,4.461909771,4.5544800758,535304,121499527.56,2018-02-08
267,4.5650801659,4.8494100571,4.1992697716,4.7455501556,651699,126596687.879,2018-02-09
268,4.7467899323,4.8864598274,4.1424899101,4.3610701561,513197,116339943.233,2018-02-10
269,4.3564200401,4.3564200401,3.9486300945,4.1461400986,261449,110619456.217,2018-02-11
270,4.1660199165,4.7143101692,4.1660199165,4.6672000885,381422,124521392.441,2018-02-12
271,4.6846299171,4.9346899986,4.3481798172,4.3924498558,1821350,117191033.217,2018-02-13
272,4.3772101402,4.7902498245,4.2979698181,4.7783799171,702753,127497412.295,2018-02-14
273,4.7808299065,5.0394201279,4.59953022,4.7889199257,581333,127778642.069,2018-02-15
274,4.7722702026,5.0266098976,4.4085302353,4.9329400063,446139,131621404.118,2018-02-16
275,4.908370018,5.3005800247,4.908370018,5.0706501007,696794,135295801.852,2018-02-17
276,5.0823698044,5.1250600815,4.4632501602,4.5560698509,436404,121565705.372,2018-02-18
277,4.5404400826,4.9804601669,4.4106202126,4.4862999916,703168,119704092.345,2018-02-19
278,4.4706001282,4.9292898178,3.9998800755,4.0310502052,771563,107557047.333,2018-02-20
